Index,V1,V2,V3,V4
0,281673,239817,88606,139727
1,281536,1044538,88525,139744
2,282007,240405,88395,139629
3,281940,240117,88616,139580
4,282023,240142,88702,139289
5,522274,239978,88573,139673
6,281742,239785,88519,139796
7,281869,239785,88592,139618
8,282013,240122,88736,139589
9,282147,240176,88676,139632
10,282262,240026,88729,139587
11,282476,240019,88555,139522
12,282508,240119,88649,139550
13,282096,239980,88920,139834
14,281797,239944,88893,261128
15,281526,239948,88693,139619
16,281581,240052,88508,139443
17,281453,239995,88392,139546
18,281374,239959,88580,139449
19,281560,239958,88751,139516
20,281779,239798,88602,139812
21,282055,239935,88581,139769
22,282271,-64600,88651,139673
23,282208,239636,88533,139799
24,282197,239934,88511,139621
25,282217,240088,88557,139504
26,282098,240222,88605,139550
27,294786,240093,88506,139423
28,281816,239826,88661,139509
29,281719,239899,88706,139566
30,281492,240059,88761,139479
31,281479,240058,88761,139172
32,281882,240262,88832,139426
33,282267,240255,88849,139610
34,282338,240277,88729,139676
35,282575,240220,88750,139676
36,282440,240128,88483,139591
37,282346,240086,88489,139624
38,282383,240048,88531,147392
39,281971,240310,88502,139555
40,281856,240090,88549,139643
41,281891,239928,88663,139856
42,281732,239910,88638,139718
43,281733,239999,88557,139689
44,281942,240636,88649,139576
45,282076,239964,88910,139818
46,282284,239873,88699,139809
47,282239,240061,88793,139628
48,282054,240020,88795,139583
49,282608,240182,88947,139795
50,282168,240068,88692,139851
51,281981,240306,88641,139908
52,281880,240154,88602,139983
53,281873,239881,88330,139597
54,281818,239964,88388,139663
55,281680,240153,88422,139618
56,281720,240006,88743,139646
57,281955,240042,88723,139527
58,282263,240334,88693,139627
59,282418,240343,88637,139640
60,282584,240293,88772,139728
61,282270,240247,88825,139770
62,282056,240153,88597,139774
63,282017,240138,88503,139574
64,282055,240064,88852,139710
65,281981,240185,88821,139413
66,281688,240111,88481,139423
67,281557,245633,88709,139505
68,281679,240286,88835,139588
69,281767,240053,88766,139678
70,281929,240158,88819,139795
71,282620,240419,88852,139774
72,282365,240241,88717,139569
73,282429,240009,88529,139661
74,282409,240015,88383,139700
75,282352,240254,88377,139581
76,281885,240296,88756,139442
77,281605,240132,88690,139515
78,281769,240043,88465,139411
79,281822,240214,88506,139374
80,281941,240098,88676,139544
81,282045,240007,88769,139681
82,282187,239981,88774,139929
83,282430,240015,88799,139824
84,282476,240071,88728,139764
85,282542,240245,88810,139913
86,282572,240316,88676,139671
87,282267,240357,88775,2080836
88,281980,240215,88744,139607
89,282094,240166,88650,139567
90,281802,520221,88670,139647
91,281776,240142,88692,139397
92,281551,240208,88896,139536
93,281791,240131,88889,139792
94,282315,240060,88383,139916
95,282248,239971,88533,139992
96,282157,240003,88657,140005
97,282533,240123,88563,139833
98,282579,240345,88876,139681
99,282510,240370,88753,139785
100,282068,240081,88545,139676
101,281850,240053,88527,139566
102,281761,240042,88444,139632
103,281562,240034,88498,139622
104,281602,240053,88736,139312
105,281566,240042,88791,139630
106,281387,239787,88586,139627
107,281727,240047,88748,139690
108,282305,240318,88907,139783
109,282372,240320,88761,139778
110,282519,240075,88653,139755
111,282525,239838,88628,196100
112,282534,239903,88786,139884
113,282099,-64599,88811,139698
114,281952,240223,88789,139608
115,281783,240167,88525,139550
116,8356389,239847,88633,139565
117,281700,239978,88686,139734
118,282103,240109,88923,139637
119,282779,240120,89030,139551
120,283081,240104,89045,139704
121,282959,240111,88590,139797
122,282743,240358,88644,139712
123,282519,240281,88790,139656
124,282203,240076,88538,139506
125,282159,240276,88445,139675
126,281851,240308,88446,139654
127,282107,240142,88470,139446
128,281963,240082,88626,139523
129,282074,239943,88846,139671
130,282302,240049,88770,139655
131,282351,240304,88614,139388
132,282472,240215,88551,139612
133,282645,240095,88476,139808
134,282670,239927,88636,139474
135,282759,240636,88737,143344
136,282683,240254,88912,139944
137,282805,240158,88837,139805
138,1044548,240071,88791,139511
139,282163,240041,88652,139629
140,282046,239972,88616,139711
141,282348,239895,88747,139528
142,282485,240046,88894,139660
143,282617,240317,88833,139841
144,282990,240135,88826,139938
145,283182,240137,88775,139944
146,283464,240041,88714,139841
147,283532,240135,88602,139794
148,283358,240309,88622,139857
149,283056,240433,88794,139830
150,282904,240403,88828,139674
151,282675,240286,88685,139671
152,282473,240142,88434,139694
153,282695,240227,88498,139755
154,283009,240336,88749,139560
155,283098,240058,88827,139494
156,283222,240186,88586,139572
157,283631,240202,88705,139806
158,283609,245696,88612,139737
159,283780,240144,88735,139903
160,327428,240077,88655,-130527
161,283405,240244,88719,139598
162,283362,240182,88801,139579
163,283169,240071,88780,139511
164,283174,240022,88947,139596
165,283028,239848,88704,139436
166,283052,239986,88644,139524
167,283315,240116,88398,139527
168,283767,240289,88633,139555
169,283836,240298,88683,139750
170,283902,240293,88511,139752
